eventID,PrecipitatingEvent,UnsafeManeuverType,FrameCount,FrameRate,EventStartFrame,EventEndFrame,VideoStart,VideoEnd,TimeseriesBegin,TimeseriesEnd,Dataset
151568994,Subject vehicle backing,7,441,15,322,417,11,451,1091700,1120900,train
151569020,Other vehicle lane change - left in front of subject,2,445,15,311,364,6,450,843400,872900,train
151569036,Subject in intersection - turning left,1,441,15,318,394,10,450,50700,79900,train
151570556,"Other vehicle lane change - right, sideswipe threat",2,439,15,325,378,13,451,550900,579900,train
151570573,Object in roadway,9,438,15,286,320,0,437,398300,427300,train
151570615,"Other vehicle lane change - right, sideswipe threat",2,447,15,308,370,4,450,1061300,1090900,train
151570684,Other vehicle entering intersection - straight across path,3,439,15,326,411,13,451,81900,110900,train
151574060,"Other vehicle lane change - right, sideswipe threat",2,445,15,311,354,6,450,918500,947900,test
151581844,Other vehicle ahead - decelerating,4,448,15,298,402,0,447,1387100,1416800,train
151582642,Other vehicle ahead - stopped on roadway more than 2 seconds,4,446,15,311,382,6,451,282400,311900,train
151587463,Other vehicle entering intersection - left turn across path,3,444,15,316,388,8,451,2273600,2303000,train
151589155,Object in roadway,9,445,15,294,339,0,444,321900,351400,train
151589159,Other vehicle entering intersection - turning same direction,3,445,15,313,412,7,451,413500,442900,validation
151589164,Animal approaching roadway,9,448,15,298,355,0,447,11048600,11078200,train
151589179,Other vehicle ahead - stopped on roadway more than 2 seconds,4,450,15,304,340,2,451,1154200,1184000,train
151589509,Animal in roadway,9,439,15,325,393,12,450,1054800,1083900,train
151589633,Other vehicle ahead - decelerating,4,146,15,164,233,57,202,5800,15300,validation
151591142,Other vehicle ahead - decelerating,4,445,15,313,401,7,451,1699500,1729000,validation
151591689,Other vehicle entering intersection - turning same direction,3,449,15,303,339,2,450,1095200,1124900,train
151591692,Other vehicle ahead - decelerating,4,442,15,320,395,10,451,221600,250900,train
151591696,Other vehicle ahead - decelerating,4,438,15,327,452,14,451,560000,589000,train
151592147,Other vehicle ahead - decelerating,4,440,15,324,394,12,451,151800,181000,train
151592647,Other vehicle ahead - decelerating,4,446,15,308,403,5,450,327400,356900,train
151595571,"Other vehicle lane change - right, sideswipe threat",2,194,15,154,229,56,249,5800,18500,validation
151596597,Other vehicle entering intersection - turning onto opposite direction,3,395,15,359,395,56,450,5800,31900,train
151597678,Other vehicle ahead - decelerating,4,444,15,314,402,7,450,240500,269900,validation
151598160,Animal in roadway,9,445,15,313,365,7,451,1552500,1581900,train
151598426,This vehicle lost control - excessive speed,6,445,15,295,396,0,444,208300,238000,train
151598534,Other vehicle ahead - decelerating,4,448,15,307,362,4,451,1692300,1722000,test
151600575,Other vehicle ahead - stopped on roadway more than 2 seconds,4,444,15,314,366,8,451,351600,381000,validation
151603448,Other vehicle ahead - slowed and stopped 2 seconds or less,4,444,15,314,403,7,450,585400,614800,train
151605352,Other vehicle lane change - left in front of subject,2,447,15,307,336,4,450,191300,220900,train
151606787,"Other vehicle lane change - right, sideswipe threat",2,450,15,299,321,0,449,459000,488800,train
151606793,"Subject lane change - left, sideswipe threat",0,439,15,326,371,13,451,490900,520000,train
151607634,Other vehicle ahead - decelerating,4,444,15,316,410,8,451,274100,303500,validation
151607855,Other vehicle - backing,3,446,15,312,370,6,451,875400,905000,train
151607857,Pedestrian in roadway,9,447,15,309,356,5,451,1231400,1261000,train
151609044,Other vehicle - backing,3,440,15,325,371,12,451,18800,48000,train
151610542,"Other vehicle lane change - right, sideswipe threat",2,447,15,307,356,4,450,909400,939000,train
151611060,Other vehicle ahead - decelerating,4,448,15,302,358,2,449,860200,889800,train
151611682,Other vehicle entering intersection - turning same direction,3,438,15,326,373,13,450,1242900,1271900,train
151611684,Animal approaching roadway,9,443,15,317,347,8,450,125500,154900,train
151852191,Subject over left edge of road,5,445,15,314,368,7,451,699500,729000,train
151854594,Other vehicle ahead - decelerating,4,442,15,320,353,10,451,348600,377900,test
151856683,Other vehicle entering intersection - left turn across path,3,447,15,309,367,5,451,233700,263300,train
151856798,Other vehicle lane change - right in front of subject,2,441,15,319,352,10,450,2129700,2158900,train
151859419,Subject vehicle ahead - decelerating,8,441,15,320,370,11,451,2031100,2060300,train
151859819,Other vehicle entering intersection - turning same direction,3,447,15,308,369,5,451,304400,334000,train
151859866,Subject in intersection - turning left,1,242,15,200,229,55,296,5800,21700,train
151859874,Other vehicle ahead - decelerating,4,449,15,303,372,2,450,1053200,1082900,train
151859887,Other vehicle ahead - slowed and stopped 2 seconds or less,4,446,15,312,426,6,451,1105400,1134900,train
151859909,Other vehicle ahead - decelerating,4,446,15,310,365,5,450,312400,341900,train
151859910,Other vehicle entering intersection - turning onto opposite direction,3,445,15,313,364,7,451,283100,312600,train
151859932,Other vehicle - backing,3,449,15,305,341,3,451,345200,374900,train
151859939,Other vehicle entering intersection - turning onto opposite direction,3,443,15,317,373,9,451,427500,456900,test
151859947,Pedalcyclist/other non-motorist in roadway,9,443,15,316,354,8,450,312500,341900,train
151859964,Subject in intersection - turning left,1,447,15,308,368,4,450,1394300,1423900,test
151859967,Other vehicle oncoming - over left line,2,442,15,318,355,10,451,734700,763900,train
151859994,Other vehicle ahead - decelerating,4,445,15,311,366,6,450,593500,622900,validation
151860015,Other vehicle ahead - decelerating,4,448,15,308,346,4,451,1032200,1061900,test
151860045,Other vehicle ahead - decelerating,4,438,15,326,385,13,450,445800,474800,test
151861966,Other vehicle ahead - decelerating,4,440,15,323,374,12,451,1091800,1120900,train
151862623,"Other vehicle lane change - right, sideswipe threat",2,439,15,326,359,13,451,688900,718000,train
151864570,Other vehicle ahead - decelerating,4,443,15,316,384,8,450,176600,205900,train
151864576,Other vehicle entering intersection - straight across path,3,449,15,303,330,2,450,791200,820900,train
151864581,Pedestrian in roadway,9,446,15,312,356,6,451,406400,435900,train
151864584,Other vehicle entering intersection - right turn across path,3,442,15,319,357,10,451,304700,334000,train
151864619,"Other vehicle lane change - right, sideswipe threat",2,445,15,314,408,7,451,84400,113900,train
151864769,Animal in roadway,9,439,15,325,366,13,451,1752900,1782000,train
151864818,Other vehicle ahead - decelerating,4,445,15,311,366,6,450,1851500,1880900,train
151864852,Other vehicle ahead - decelerating,4,445,15,314,353,7,451,538500,567900,train
151864857,Subject over right edge of road,5,442,15,317,399,9,450,1121700,1150900,train
151864858,Subject over right edge of road,5,447,15,309,336,5,451,733300,762900,train
151864864,Other vehicle lane change - right in front of subject,2,450,15,299,357,0,449,391000,420800,train
151864868,Object in roadway,9,440,15,322,362,11,450,317800,346900,train
151878849,Other vehicle ahead - slowed and stopped 2 seconds or less,4,449,15,305,390,3,451,232300,262000,train
151582023,This vehicle lost control - excessive speed,6,440,15,322,384,11,450,5163300,5192500,train
151864922,Other vehicle entering intersection - left turn across path,3,450,15,304,374,2,451,705200,735000,validation
147220625,Other vehicle entering intersection - turning onto opposite direction,3,441,15,322,367,11,451,943700,972900,train
144188884,Other vehicle lane change - left in front of subject,2,439,15,326,387,13,451,753900,783000,train
151580962,Subject lane change - right behind vehicle,0,443,15,316,394,8,450,2193600,2222900,test
151863131,Pedestrian approaching roadway,9,442,15,317,384,9,450,183600,212900,train
151862014,Animal in roadway,9,444,15,315,363,8,451,407600,437000,train
151593374,"Other vehicle lane change - left, sideswipe threat",2,448,15,308,360,4,451,1553300,1582900,test
151864903,Other vehicle ahead - decelerating,4,440,15,324,393,12,451,98800,128000,train
151864865,Other vehicle entering intersection - turning same direction,3,441,15,321,358,10,450,1510700,1539900,train
151864836,Other vehicle ahead - decelerating,4,448,15,308,354,4,451,32300,61900,train
151576355,Other vehicle entering intersection - left turn across path,3,444,15,316,441,8,451,1700000,1729400,train
151864623,Other vehicle ahead - decelerating,4,449,15,301,382,1,449,271100,300800,test
151568716,Subject over right edge of road,5,442,15,320,392,10,451,71600,100900,train
151856733,This vehicle lost control - excessive speed,6,441,15,322,408,11,451,532700,561900,train
151864866,Other vehicle from driveway - turning into opposite direction,3,445,15,314,362,7,451,217400,246900,train
151864874,Subject over right edge of road,5,451,15,302,351,1,451,164100,193900,train
151582037,Subject over left lane line,0,447,15,310,359,5,451,799300,828900,train
151856760,Other vehicle entering intersection - right turn across path,3,449,15,303,369,2,450,173200,202900,train
151864832,Other vehicle from driveway - turning into opposite direction,3,444,15,316,334,8,451,273500,302900,train
151864835,Pedalcyclist/other non-motorist in roadway,9,443,15,318,343,9,451,224600,254000,test
151864869,"Other vehicle lane change - left, sideswipe threat",2,421,15,268,291,0,420,1615000,1642800,train
151569267,Other vehicle ahead - decelerating,4,439,15,324,381,12,450,587800,616900,train
151573880,"Other vehicle lane change - right, sideswipe threat",2,445,15,294,339,0,444,2099900,2129300,train
151606615,Subject over right edge of road,5,449,15,301,331,1,449,406100,435800,train
29859103,Subject vehicle ahead - slowed and stopped 2 seconds or less,8,442,15,318,362,9,450,739600,768900,train
151856665,Subject in intersection - turning left,1,440,15,321,424,11,450,1123700,1152900,train
151581417,This vehicle lost control - excessive speed,6,448,15,306,400,3,450,1593300,1622900,train
151586347,Other vehicle ahead - decelerating,4,445,15,314,403,7,451,499500,529000,train
151570800,This vehicle lost control - excessive speed,6,449,15,304,426,2,450,251100,280900,train
151856651,Subject over right edge of road,5,447,15,308,359,4,450,41300,70900,train
151864826,Subject over left edge of road,5,449,15,301,383,1,449,91100,120800,train
151550440,Subject in intersection - turning right,1,449,15,301,333,1,449,95100,124800,train
151864895,Other vehicle ahead - decelerating,4,438,15,327,371,14,451,801900,830900,train
151568709,This vehicle lost control - poor road conditions,6,438,15,326,419,13,450,1446900,1475900,validation
143337346,This vehicle lost control - excessive speed,6,439,15,324,423,12,450,312800,341900,train
29859070,Subject vehicle ahead - stopped on roadway more than 2 seconds,8,439,15,322,380,11,449,47800,76900,train
10556975,Other vehicle ahead - decelerating,4,448,15,303,325,2,449,264700,294400,train
128888406,Subject over left edge of road,5,437,15,325,405,13,449,111000,139900,train
151550418,Other vehicle ahead - decelerating,4,440,15,324,381,12,451,695800,724900,train
151859457,"Subject lane change - left, sideswipe threat",0,449,15,301,331,1,449,1068100,1097800,train
151864871,Other vehicle ahead - decelerating,4,440,15,321,383,11,450,248700,277900,train
151864834,Other vehicle entering intersection - turning same direction,3,442,15,320,373,10,451,480700,509900,train
151864854,Other vehicle ahead - decelerating,4,441,15,322,377,11,451,302700,331900,train
151864887,Other vehicle ahead - decelerating,4,450,15,301,344,1,450,123100,152900,train
151864900,Subject over right edge of road,5,446,15,309,360,5,450,522400,551900,train
151878834,Subject in intersection - turning left,1,447,15,307,338,4,450,39300,68900,train
142049409,Subject in intersection - turning right,1,446,15,310,414,6,451,15400,44900,train
142007588,Other vehicle entering intersection - straight across path,3,444,15,314,338,7,450,472500,501900,train
61432360,Other vehicle lane change - right in front of subject,2,444,15,313,362,7,450,821600,851000,train
151865144,Subject in intersection - turning left,1,440,15,322,369,11,450,583800,612900,train
151568929,"Other vehicle lane change - left, sideswipe threat",2,449,15,302,415,2,450,682700,712400,validation
151581531,Subject in intersection - turning left,1,439,15,325,424,12,450,122800,151900,validation
96898051,Other vehicle entering intersection - right turn across path,3,442,15,291,358,0,441,713700,743000,train
151865130,Animal in roadway,9,449,15,305,342,3,451,153200,183000,train
151864812,Other vehicle oncoming - over left line,2,440,15,325,352,12,451,223800,253000,validation
35257232,Other vehicle entering intersection - turning onto opposite direction,3,444,15,315,403,7,450,162500,191900,train
36842966,Other vehicle entering intersection - turning same direction,3,445,15,311,432,6,450,79500,108900,validation
138353165,Other vehicle ahead - slowed and stopped 2 seconds or less,4,441,15,321,415,10,450,482700,511900,train
151582650,Subject lane change - left behind vehicle,0,449,15,301,330,1,449,854600,884300,train
151598431,Subject over left lane line,1,438,15,327,396,14,451,754000,782900,train
29884179,Other vehicle ahead - slowed and stopped 2 seconds or less,4,447,15,306,381,4,450,147300,176900,train
151568565,Other vehicle lane change - right in front of subject,2,443,15,317,355,9,451,292600,322000,validation
151864831,Object in roadway,9,450,15,299,323,0,449,41000,70800,train
134933669,"Other vehicle lane change - right, sideswipe threat",2,447,15,309,388,5,451,143300,172900,train
151586561,Other vehicle entering intersection - turning onto opposite direction,3,429,15,276,334,0,428,255400,283800,train
136041498,Other vehicle ahead - decelerating,4,448,15,306,364,3,450,403300,432900,train
151865122,Subject over right edge of road,5,441,15,323,361,11,451,64700,93900,train
151573032,Subject lane change - right behind vehicle,0,437,15,330,398,15,451,742000,770900,train
138353265,Other vehicle lane change - left in front of subject,2,446,15,307,346,4,449,1598400,1627900,validation
61426962,Subject in intersection - passing through,7,444,15,314,400,7,450,565500,594900,train
128888404,Other vehicle entering intersection - left turn across path,3,448,15,297,343,0,447,181100,210700,train
116168889,Other vehicle entering intersection - right turn across path,3,447,15,307,367,4,450,12600,42200,train
151870548,Other vehicle ahead - decelerating,4,444,15,315,412,8,451,828600,858000,train
151859510,Other vehicle ahead - decelerating,4,442,15,318,420,9,450,508600,537900,train
151859600,Other vehicle entering intersection - turning same direction,3,447,15,309,375,5,451,1097400,1127000,train
151582998,Other vehicle lane change - right in front of subject,2,450,15,304,360,2,451,349200,379000,train
10556973,Other vehicle ahead - decelerating,4,446,15,310,433,5,450,1958400,1988000,train
151856530,Other vehicle ahead - stopped on roadway more than 2 seconds,4,449,15,305,370,3,451,890200,919900,train
151569071,Other vehicle ahead - decelerating,4,444,15,314,371,7,450,1396600,1426000,train
151586342,"Other vehicle lane change - right, sideswipe threat",2,448,15,307,386,4,451,264200,293900,train
151865138,Other vehicle ahead - decelerating,4,447,15,308,340,4,450,919300,948900,train
151570852,Other vehicle ahead - decelerating,4,448,15,308,337,4,451,731300,760900,train
61211857,Subject over right edge of road,5,435,15,284,414,0,434,2091100,2119900,validation
130475665,Other vehicle ahead - slowed and stopped 2 seconds or less,4,446,15,309,417,5,450,2892500,2922000,train
151859922,Other vehicle ahead - stopped on roadway more than 2 seconds,4,449,15,299,389,0,448,851000,880700,train
61385893,Other vehicle ahead - decelerating,4,440,15,319,384,10,449,1249800,1278900,train
128906313,Other vehicle ahead - stopped on roadway more than 2 seconds,4,446,15,307,360,4,449,393400,422900,train
151569108,Other vehicle - backing,8,449,15,303,355,2,450,61200,90900,validation
151589507,Other vehicle entering intersection - turning same direction,3,438,15,328,427,14,451,695900,724900,train
2880462,Other vehicle ahead - slowed and stopped 2 seconds or less,4,451,15,300,374,0,450,6015100,6044900,validation
61386961,Other vehicle ahead - at a slower constant speed,4,442,15,315,362,8,449,1109100,1138300,train
36842961,Other vehicle entering intersection - left turn across path,3,449,15,298,353,0,448,124100,153800,test
61432399,Subject over right edge of road,5,447,15,305,364,3,449,654300,683900,train
61426761,"Other vehicle lane change - left, sideswipe threat",2,444,15,311,367,6,449,999600,1029000,train
10858442,Animal in roadway,9,446,15,309,376,5,450,21400,51000,test
151093778,Subject over right edge of road,5,449,15,299,349,0,448,1799600,1829300,test
61432361,Other vehicle lane change - right in front of subject,2,443,15,291,328,0,442,1505900,1535300,test
151856693,Other vehicle lane change - left in front of subject,2,441,15,321,371,11,451,695800,725000,validation
64646331,Other vehicle entering intersection - left turn across path,3,442,15,316,350,8,449,323700,352900,train
151568696,Subject vehicle backing,7,443,15,318,447,9,451,1106600,1136000,train
151581041,Other vehicle ahead - decelerating,4,444,15,315,420,8,451,895600,925000,train
151854704,Other vehicle ahead - slowed and stopped 2 seconds or less,4,442,15,318,365,9,450,640600,669900,validation
151568527,Other vehicle ahead - decelerating,4,450,15,304,426,2,451,9412200,9441900,test
147359681,Other vehicle ahead - stopped on roadway more than 2 seconds,4,440,15,288,376,0,439,610400,639500,train
151609056,Subject in intersection - turning left,1,441,15,322,371,11,451,677700,706900,train
151862031,"Other vehicle lane change - left, sideswipe threat",2,442,15,320,351,10,451,1026700,1056000,train
35257212,Subject in intersection - turning left,1,447,15,306,377,3,449,49300,78900,train
9886405,Animal in roadway,9,450,15,298,351,0,449,33000,62800,train
151862010,Other vehicle entering intersection - turning same direction,3,441,15,320,368,10,450,129700,158900,train
151864833,Other vehicle entering intersection - left turn across path,3,441,15,319,363,10,450,443700,472900,train
142043058,Other vehicle entering intersection - turning same direction,3,449,15,304,361,2,450,414100,443900,train
151570817,Other vehicle ahead - decelerating,4,438,15,327,380,14,451,425900,454900,train
151587812,Subject in intersection - turning right,1,449,15,299,324,0,448,652100,681800,train
61427030,Other vehicle entering intersection - straight across path,3,444,15,313,360,7,450,156500,186000,validation
151865121,Subject over left edge of road,5,430,15,278,317,0,429,904000,932500,train
132623327,Subject over right edge of road,5,443,15,295,362,0,442,31800,61600,train
61426782,"Other vehicle lane change - right, sideswipe threat",2,447,15,308,436,4,450,285400,315000,train
151865109,Other vehicle from parallel/diagonal parking lane,2,451,15,302,334,1,451,605100,634900,train
115730583,Pedalcyclist/other non-motorist approaching roadway,9,448,15,307,338,3,450,872300,901900,train
64553422,Other event not attributed to subject vehicle,8,443,15,314,354,7,449,1657600,1687000,train
151878923,Other vehicle ahead - decelerating,4,449,15,306,339,3,451,164200,194000,train
135448582,Other vehicle entering intersection - turning same direction,3,448,15,308,405,4,451,93300,123000,train
61386970,Other vehicle - backing,3,305,15,265,394,56,360,5800,25900,train
151591685,Other vehicle lane change - left in front of subject,2,448,15,306,354,3,450,921300,950900,test
61432338,Other vehicle entering intersection - turning onto opposite direction,3,449,15,303,364,2,450,347300,377000,train
138268388,Other vehicle lane change - right in front of subject,2,449,15,298,351,0,448,784100,813800,train
143062577,Other vehicle lane change - left in front of subject,2,441,15,322,420,11,451,1753700,1782900,train
61426984,Other vehicle ahead - decelerating,4,437,15,328,455,14,450,209000,238000,test
151569693,Other vehicle ahead - decelerating,4,443,15,315,385,8,450,527600,556900,train
151856713,Animal in roadway,9,437,15,328,363,14,450,922000,950900,train
61426809,Other vehicle entering intersection - straight across path,3,445,15,312,404,6,450,807400,836900,train
151569057,Other vehicle ahead - slowed and stopped 2 seconds or less,4,447,15,309,355,5,451,410300,439900,train
35258333,Subject in intersection - turning left,1,448,15,302,328,2,449,156300,186000,test
151545638,"Other vehicle lane change - left, sideswipe threat",2,449,15,305,352,3,451,1840300,1870000,train
138361175,Other vehicle ahead - decelerating,4,449,15,301,350,1,449,1662200,1691900,test
116162982,Other vehicle lane change - right in front of subject,2,447,15,296,377,0,446,955900,985500,train
151606784,"Other vehicle lane change - right, sideswipe threat",2,308,15,270,294,57,364,5800,26100,train
135449515,Other vehicle ahead - decelerating,4,323,15,270,351,50,372,5800,27100,train
151865044,Subject over left edge of road,5,451,15,300,314,0,450,1068000,1097800,validation
9886400,Other vehicle ahead - decelerating,4,439,15,324,437,12,450,308900,337900,train
151568477,Other vehicle lane change - right in front of subject,2,439,15,324,370,12,450,1588900,1617900,train
151573861,Other vehicle ahead - decelerating,4,445,15,314,354,7,451,286400,315900,train
151600571,Other vehicle entering intersection - turning same direction,3,447,15,307,372,4,450,317100,346700,train
151609108,Other vehicle ahead - slowed and stopped 2 seconds or less,4,449,15,303,350,2,450,320200,349900,validation
135449522,Other vehicle ahead - decelerating,4,437,15,328,389,14,450,514900,543900,train
151589158,Other vehicle lane change - left in front of subject,2,437,15,330,417,15,451,1672900,1701900,train
151568560,Other vehicle ahead - slowed and stopped 2 seconds or less,4,446,15,310,408,5,450,6466400,6495900,train
142030153,"Other vehicle lane change - left, sideswipe threat",2,443,15,307,367,6,448,51800,81500,train
135085856,Other vehicle ahead - decelerating,4,449,15,302,378,1,449,1268300,1298000,train
151861984,Subject in intersection - turning left,1,440,15,322,399,11,450,722800,752000,train
151603223,Animal in roadway,9,441,15,323,414,11,451,291700,320900,validation
142049755,Other vehicle lane change - right in front of subject,2,447,15,308,336,4,450,2501400,2531000,train
151570840,Subject over right edge of road,5,449,15,304,420,3,451,16300,46000,validation
151573792,Other vehicle lane change - right in front of subject,2,445,15,311,363,6,450,2262500,2292000,train
61385915,Other vehicle lane change - left in front of subject,2,444,15,314,368,7,450,1281500,1310900,test
151565159,Animal approaching roadway,9,445,15,313,407,7,451,33500,62900,train
138591526,Subject in intersection - turning right,1,439,15,324,382,12,450,2520800,2549900,test
151859543,Other vehicle ahead - decelerating,4,441,15,321,364,11,451,1802800,1832000,train
132528477,Other vehicle ahead - decelerating,4,446,15,310,354,5,450,429400,459000,train
151568973,Other vehicle lane change - right in front of subject,2,449,15,304,375,3,451,136200,165900,train
151864929,Subject over left edge of road,5,398,15,353,405,53,450,5800,32100,train
151565531,Pedestrian approaching roadway,9,449,15,301,388,1,449,93400,123100,validation
128888412,Subject over right edge of road,5,443,15,313,430,7,449,4052600,4081900,train
143062746,Subject over right edge of road,5,447,15,308,390,4,450,2014300,2043900,train
151569115,Other vehicle entering intersection - straight across path,3,445,15,314,379,7,451,11400,40900,train
135085990,"Other vehicle lane change - right, sideswipe threat",2,445,15,308,348,5,449,3583500,3613000,validation
151573810,"Other vehicle lane change - left, sideswipe threat",2,446,15,309,374,5,450,124400,153900,test
64553430,Animal in roadway,9,442,15,318,363,9,450,11700,40900,train
35258185,Other vehicle - backing,3,445,15,312,409,6,450,488500,517900,test
151568678,Subject vehicle - end departure,5,439,15,326,442,13,451,12177900,12207000,train
151856559,Subject vehicle - end departure,5,451,15,301,358,1,451,1282100,1311900,train
61427018,Other vehicle entering intersection - straight across path,3,449,15,299,346,0,448,92100,121800,train
151569265,Other vehicle lane change - right in front of subject,2,443,15,318,340,9,451,1821600,1850900,train
143288740,"Other vehicle lane change - left, sideswipe threat",2,444,15,313,346,7,450,109500,138900,validation
143108403,Other vehicle ahead - decelerating,4,449,15,300,348,1,449,118100,147800,train
61432327,Subject in intersection - turning left,1,437,15,325,365,13,449,8003000,8031900,train
116163022,Subject vehicle - end departure,5,441,15,320,356,10,450,27600,56800,validation
61432387,Other vehicle entering intersection - straight across path,3,437,15,326,370,13,449,110900,139800,train
135947083,Subject vehicle backing,7,448,15,302,329,2,449,147200,176900,train
151565600,Other vehicle entering intersection - straight across path,3,445,15,311,358,6,450,924500,953900,train
151568674,"Other vehicle lane change - right, sideswipe threat",2,439,15,323,371,12,450,2458800,2487900,validation
61432350,Other vehicle ahead - decelerating,4,410,15,303,373,2,411,176400,203500,train
61211934,Other vehicle lane change - left in front of subject,2,449,15,301,327,1,449,457200,487000,train
61426825,Other vehicle lane change - left in front of subject,2,445,15,309,360,5,449,1198500,1228000,train
61427028,Other vehicle - backing,3,450,15,299,379,0,449,1100100,1129900,train
132706055,Subject over right edge of road,5,435,15,284,383,0,434,422300,451100,train
116147323,Other vehicle lane change - right in front of subject,2,443,15,316,361,8,450,215600,245000,train
35257213,Other vehicle entering intersection - left turn across path,3,445,15,309,395,5,449,530500,559900,train
138361957,Other vehicle ahead - decelerating,4,440,15,322,383,11,450,838800,868000,test
76264663,Subject over right edge of road,5,441,15,320,404,10,450,1083800,1113000,train
151856555,Other vehicle ahead - slowed and stopped 2 seconds or less,4,441,15,323,351,11,451,1352700,1381900,train
133753420,Other vehicle ahead - decelerating,4,442,15,314,360,8,449,5325700,5354900,train
76264662,Subject over right edge of road,5,447,15,307,360,4,450,8300,37900,train
151598436,"Other vehicle lane change - right, sideswipe threat",2,439,15,324,357,12,450,648800,677900,test
138351780,Other vehicle ahead - decelerating,4,444,15,312,424,6,449,134500,163900,test
61216942,Subject vehicle ahead - decelerating,8,441,15,319,459,10,450,154800,184000,train
151548878,Subject over right edge of road,5,440,15,321,367,11,450,594800,623900,test
151859516,Other vehicle ahead - decelerating,4,448,15,307,403,4,451,1233300,1262900,train
151859769,"Other vehicle lane change - right, sideswipe threat",2,449,15,303,328,2,450,1722200,1751900,test
151586126,Other vehicle ahead - decelerating,4,446,15,309,373,5,450,313400,342900,train
151549052,Pedalcyclist/other non-motorist approaching roadway,9,440,30,646,735,22,461,1129800,1158900,train
151549153,Animal approaching roadway,9,440,15,324,388,12,451,165800,195000,train
135191721,Other vehicle - backing,3,451,15,302,352,1,451,36100,65900,train
61385937,"Subject vehicle, other",0,446,15,308,350,5,450,2820400,2850000,train
143172932,Other vehicle ahead - decelerating,4,444,30,636,819,16,459,1355600,1384900,test
128888426,Other vehicle ahead - decelerating,4,440,15,320,392,10,449,1269800,1298900,train
151553179,Subject vehicle backing,7,438,15,328,418,14,451,344900,373900,train
151573878,Other vehicle lane change - left in front of subject,2,444,15,316,418,8,451,739500,768900,train
151578537,Other vehicle lane change - right in front of subject,2,443,15,317,375,9,451,1735600,1765000,train
134175108,Subject lane change - left in front of vehicle,0,437,15,325,376,13,449,1057000,1086000,train
64553439,Other vehicle ahead - stopped on roadway more than 2 seconds,4,450,15,302,366,1,450,297200,327000,train
151852190,Subject vehicle backing,7,448,15,306,352,4,451,1281300,1311000,train
61432334,Other vehicle ahead - slowed and stopped 2 seconds or less,4,442,15,315,370,8,449,574700,603900,train
9886401,Other vehicle ahead - decelerating,4,446,15,310,388,5,450,1566500,1596000,validation
61385902,Subject over right edge of road,5,196,15,156,191,56,251,5800,18600,train
61386976,Pedestrian in roadway,9,438,15,326,410,13,450,75900,104800,train
151568725,Other vehicle ahead - decelerating,4,438,15,326,413,13,450,306900,335900,train
61216656,Subject over right edge of road,5,447,15,306,355,4,450,158300,187900,validation
10564307,Other vehicle ahead - decelerating,4,442,15,318,423,9,450,769700,798900,train
151568892,Other vehicle lane change - right in front of subject,2,449,15,301,377,1,449,202100,231800,train
10858443,Pedalcyclist/other non-motorist in roadway,9,446,15,308,344,4,449,50400,79900,train
133753402,Subject over right edge of road,5,445,15,309,418,5,449,308500,337900,train
134934599,"Other vehicle lane change - left, sideswipe threat",2,441,15,318,377,9,449,645700,674900,train
151569062,Other vehicle lane change - right in front of subject,2,447,15,310,377,5,451,225300,254900,train
